accession	strain	subtype	date	host	host_common_name	location	region	passage_history	length
CY094589.1	A/mallard/California/5222/2009	H5N2	2009-07-27	Anas platyrhynchos		USA: Solano County, CA	North America	E1 passage(s)	1742
CY094597.1	A/mallard/California/5250/2009	H5N2	2009-07-28	Anas platyrhynchos		USA: Solano County, CA	North America	E1 passage(s)	1742
CY094613.1	A/mallard/California/5276/2009	H5N2	2009-07-29	Anas platyrhynchos		USA: Solano County, CA	North America	E1 passage(s)	1742
CY094629.1	A/mallard/California/5296/2009	H5N2	2009-07-29	Anas platyrhynchos		USA: Solano County, CA	North America	E1 passage(s)	1742
CY062453.1	A/Egypt/N08835/2009	H5N1	2009-08-01	Homo sapiens		Egypt: Menofeya	Africa		1704
KF501061.1	A/herring gull/Mongolia/834T2/2009	H5N1	2009-08-01	Larus argentatus		Mongolia	Asia		1716
CY094717.1	A/mallard/California/5386/2009	H5N2	2009-08-04	Anas platyrhynchos		USA: Butte County, CA	North America	E1 passage(s)	1742
PP395608.1	A/chicken/Egypt/08102s-NLQP/2009	H5N1	2009-08-25	Gallus gallus		Egypt	Africa		1776
HQ198253.1	A/goose/Egypt/09134sml/2009	H5N1	2009-09	Anatidae		Egypt: Sohag	Africa		1707
JQ737229.1	A/mallard/Czech Republic/15008-11K/2009	H5N3	2009-09-09	Anas platyrhynchos		Czech Republic: South Moravia, Hodonin	Europe		1736
KX979575.1	A/Eurasian wigeon/Netherlands/1/2009	H5N2	2009-09-11	Mareca penelope		Netherlands	Europe		1767
CY126026.1	A/chicken/Menofia/CAI29/2009	H5N1	2009-10-01	Gallus gallus		Egypt: Menofia	Africa	5 passage passage(s)	1719
CY099971.1	A/duck/Viet Nam/TMU019/2009	H5N1	2009-10-06	Anatidae		Viet Nam: Hanoi	Asia		1776
CY097350.1	A/mallard/Wisconsin/2576/2009	H5N1	2009-10-06	Anas platyrhynchos		USA: Wisconsin	North America	E1 passage(s)	1743
CY097176.1	A/mallard/Illinois/3974/2009	H5N2	2009-10-17	Anas platyrhynchos		USA: Illinois	North America	E1 passage(s)	1743
KX978032.1	A/mallard duck/Netherlands/19/2009	H5N3	2009-10-26	Anas platyrhynchos		Netherlands	Europe		1767
KX978388.1	A/mallard duck/Netherlands/20/2009	H5N3	2009-10-26	Anas platyrhynchos		Netherlands	Europe		1767
JX566053.1	A/mallard/Sweden/101224/2009	H5N9	2009-11-05	Anas platyrhynchos		Sweden	Europe		1729
JX566054.1	A/mallard/Sweden/101226/2009	H5N3	2009-11-05	Anas platyrhynchos		Sweden	Europe		1724
CY097237.1	A/environment/Indiana/3596/2009	H5N2	2009-11-13			USA: Indiana	North America	E1 passage(s)	1743
CY097245.1	A/environment/Indiana/3599/2009	H5N2	2009-11-13			USA: Indiana	North America	E1 passage(s)	1743
CY097253.1	A/environment/Indiana/3607/2009	H5N2	2009-11-13			USA: Indiana	North America	E1 passage(s)	1743
CY097261.1	A/environment/Indiana/3610/2009	H5N2	2009-11-13			USA: Indiana	North America	E1 passage(s)	1743
JN543378.1	A/environment/Chang Sha/25/2009	H5N1	2009-12-22			China	Asia		1745
HQ198261.1	A/chicken/Egypt/1029/2010	H5N1	2010-01	Gallus gallus		Egypt: Monofia	Africa		1729
HQ198257.2	A/environment/Egypt/104swf/2010	H5N1	2010-01			Egypt: Fayoum	Africa		1704
KP742862.1	A/environment/South Jakarta/BPPVRVIII-52-99/2010	H5N1	2010-01			Indonesia: Jakarta Timur	Asia		1746
MW676353.1	A/CHICKEN/Hunan/108/2010	H5N1	2010-01-01	Gallus gallus		China: Hunan	Asia		1704
MW676349.1	A/CHICKEN/Hunan/127/2010	H5N1	2010-01-01	Gallus gallus		China: Hunan	Asia		1704
MW676342.1	A/CHICKEN/Hunan/354/2010	H5N1	2010-01-01	Gallus gallus		China: Hunan	Asia		1704
MW676333.1	A/DUCK/Hunan/137/2010	H5N1	2010-01-01	Anatidae		China: Hunan	Asia		1704
MW676331.1	A/DUCK/Hunan/165/2010	H5N1	2010-01-01	Anatidae		China: Hunan	Asia		1704
MW676327.1	A/DUCK/Hunan/210/2010	H5N1	2010-01-01	Anatidae		China: Hunan	Asia		1704
MW676322.1	A/DUCK/Hunan/340/2010	H5N1	2010-01-01	Anatidae		China: Hunan	Asia		1704
MW676310.1	A/DUCK/Hunan/8/2010	H5N1	2010-01-01	Anatidae		China: Hunan	Asia		1704
JQ609542.2	A/chicken/Bangladesh/BL-470/2010	H5N1	2010-01-15	Gallus gallus		Bangladesh	Asia		1779
KF881362.1	A/chicken/Egypt/Q1118D/2010	H5N1	2010-01-27	Gallus gallus		Egypt	Africa		1761
KX978688.1	A/greater white-fronted goose/Netherlands/2/2010	H5N2	2010-01-29	Anser albifrons		Netherlands	Europe		1767
MF146146.1	A/white-fronted goose/Netherlands/3/2010	H5N2	2010-01-29	Anser albifrons		Netherlands	Europe		1767
CY096704.1	A/blue-winged teal/Guatemala/CIP049-08/2010	H5N3	2010-01-31	Spatula discors		Guatemala: Santa Rosa	North America		1767
CY096720.1	A/blue-winged teal/Guatemala/CIP049-09/2010	H5N3	2010-01-31	Spatula discors		Guatemala: Santa Rosa	North America		1767
CY096672.1	A/blue-winged teal/Guatemala/CIP049-12/2010	H5N4	2010-01-31	Spatula discors		Guatemala: Santa Rosa	North America		1767
HQ198275.2	A/chicken/Egypt/1012sf/2010	H5N1	2010-02	Gallus gallus		Egypt: Fayoum	Africa		1704
HQ198280.2	A/chicken/Egypt/1034qd/2010	H5N1	2010-02	Gallus gallus		Egypt: Alexandria	Africa		1716
HQ198266.2	A/chicken/Egypt/1042/2010	H5N1	2010-02	Gallus gallus		Egypt: Helwan	Africa		1704
HQ198284.2	A/chicken/Egypt/1052g/2010	H5N1	2010-02	Gallus gallus		Egypt: Dakahlia	Africa		1704
HQ198278.2	A/chicken/Egypt/1071g/2010	H5N1	2010-02	Gallus gallus		Egypt: Dakahlia	Africa		1707
JN613381.1	A/duck/Nepal/PTS58/2010	H5N1	2010-02	Anatidae		Nepal	Asia		1704
CY066012.1	A/chicken/Bhutan/248007/2010	H5N1	2010-02-17	Gallus gallus		Bhutan: Chukha	Asia		1707
CY062478.1	A/Egypt/N02554/2010	H5N1	2010-02-23	Homo sapiens		Egypt: Qalyoubeya	Africa	E1 passage(s)	1704
HQ198295.2	A/chicken/Egypt/10159s/2010	H5N1	2010-03	Gallus gallus		Egypt: Qalyobia	Africa		1719
CY098331.1	A/duck/Lao/19/2010	H5N1	2010-03	Anatidae		Laos	Asia		1704
CY098358.1	A/duck/Lao/567/2010	H5N1	2010-03	Anatidae		Laos	Asia		1704
CY098405.1	A/duck/Lao/968/2010	H5N1	2010-03	Anatidae		Laos	Asia		1704
CY098452.1	A/duck/Lao/986/2010	H5N1	2010-03	Anatidae		Laos	Asia		1704
CY062610.1	A/chicken/Egypt/8-C/2010	H5N1	2010-03-20	Gallus gallus		Egypt	Africa	E1 passage(s)	1779
HM590797.1	A/chicken/Thailand/ICRC-7372/2010	H5N1	2010-03-24	Gallus gallus		Thailand: Sukhothai Province	Asia		1720
KM657859.1	A/chicken/Aguascalientes/IA13/2010	H5N2	2010-04	Gallus gallus		Mexico: Aguascalientes	North America		1734
JX258652.1	A/wild bird/Korea/A71/2010	H5N2	2010-04	Aves		South Korea	Asia		1726
CY126240.1	A/chicken/Menofia/CAI35/2010	H5N1	2010-04-21	Gallus gallus		Egypt: Menofia	Africa	3 passage passage(s)	1732
JN588820.1	A/chicken/Cambodia/PV025LC1/2010	H5N1	2010-04-23	Gallus gallus		Cambodia: Prey Veng	Asia		1761
JN588821.1	A/duck/Cambodia/PV027D1/2010	H5N1	2010-04-30	Anatidae		Cambodia: Prey Veng	Asia		1747
CY098758.1	A/Hubei/1/2010	H5N1	2010-05-21	Homo sapiens		China: Hubei	Asia	E1 passage(s)	1715
MH501465.1	A/ruddy turnstone/New Jersey/AI10-579/2010	H5N2	2010-05-25	Arenaria interpres		USA: New Jersey	North America		1743
MH501489.1	A/ruddy turnstone/New Jersey/AI10-626/2010	H5N2	2010-05-26	Arenaria interpres		USA: New Jersey	North America		1743
MH501505.1	A/ruddy turnstone/New Jersey/AI10-648/2010	H5N2	2010-05-26	Arenaria interpres		USA: New Jersey	North America		1743
KC631946.1	A/chicken/China/k0602/2010	H5N1	2010-05-27	Gallus gallus		China: northern	Asia		1707
HQ131674.1	A/great crested grebe/Tyva/22/2010	H5N1	2010-06	Podiceps cristatus		Russia	Europe		1768
JN807778.1	A/chicken/Egypt/1090/2010	H5N1	2010-06-08	Gallus gallus		Egypt: Six-October	Africa		1716
HQ630838.1	A/grebe/Tyva/2/2010	H5N1	2010-06-22	Podiceps cristatus		Russia: Ubsu-Nur Lake, Tyva	Europe		1751
KC709802.1	A/chicken/Shandong/K0701/2010	H5N1	2010-07	Gallus gallus		China	Asia		1760
CY099579.1	A/chicken/Egypt/Q1995D/2010	H5N1	2010-08-23	Gallus gallus		Egypt	Africa		1751
CY139327.1	A/American black duck/New Brunswick/00867/2010	H5N2	2010-09-13	Anas rubripes		Canada: New Brunswick	North America	egg passage(s)	1743
CY138312.1	A/blue-winged teal/New Brunswick/00288/2010	H5N2	2010-09-14	Spatula discors		Canada: New Brunswick	North America	egg passage(s)	1743
JN807794.1	A/duck/Egypt/10118/2010	H5N1	2010-09-14	Anatidae		Egypt: Monofia	Africa		1716
JN807795.1	A/duck/Egypt/10283SF/2010	H5N1	2010-09-16	Anatidae		Egypt: Fayoum	Africa		1716
KX979224.1	A/mallard duck/Netherlands/28/2010	H5N2	2010-09-17	Anas platyrhynchos		Netherlands	Europe		1767
CY132689.1	A/mallard/Wisconsin/10OS1604/2010	H5N2	2010-09-25	Anas platyrhynchos		USA: Wisconsin	North America	E1 passage(s)	1743
KX977950.1	A/Eurasian wigeon/Netherlands/1/2010	H5N2	2010-09-27	Mareca penelope		Netherlands	Europe		1767
KF881491.1	A/chicken/Egypt/Q2247A/2010	H5N1	2010-09-29	Gallus gallus		Egypt	Africa		1749
CY133077.1	A/mallard/Wisconsin/10OS2672/2010	H5N1	2010-10-02	Anas platyrhynchos		USA: Wisconsin	North America	E1 passage(s)	1743
CY133093.1	A/northern pintail/Wisconsin/10OS2857/2010	H5N2	2010-10-02	Anas acuta		USA: Wisconsin	North America	E1 passage(s)	1743
CY133234.1	A/American green-winged teal/Wisconsin/10OS2955/2010	H5N2	2010-10-03	Anas carolinensis		USA: Wisconsin	North America	E1 passage(s)	1743
JN807798.1	A/duck/Egypt/10331SF/2010	H5N1	2010-10-12	Anatidae		Egypt: Fayoum	Africa		1716
JN807799.1	A/duck/Egypt/10336SF/2010	H5N1	2010-10-14	Anatidae		Egypt: Beni-suif	Africa		1716
CY133153.1	A/American green-winged teal/Wisconsin/10OS3127/2010	H5N2	2010-10-20	Anas carolinensis		USA: Wisconsin	North America	E1 passage(s)	1742
JN807801.1	A/chicken/Egypt/10132/2010	H5N1	2010-10-21	Gallus gallus		Egypt: Six-October	Africa		1716
CY120587.1	A/mallard/California/2396/2010	H5N2	2010-10-30	Anas platyrhynchos		USA: Glenn County, CA	North America	E1 passage(s)	1742
KF885675.1	A/duck/Moscow/4182/2010	H5N3	2010-11	Anas platyrhynchos		Russia: Moscow	Europe		1737
CY133332.1	A/mallard/Wisconsin/10OS3845/2010	H5N2	2010-11-12	Anas platyrhynchos		USA: Wisconsin	North America	E1 passage(s)	1743
KX978851.1	A/greater white-fronted goose/Netherlands/5/2010	H5N3	2010-11-13	Anser albifrons		Netherlands	Europe		1767
CY133809.1	A/gadwall/Missouri/10MO0280/2010	H5N2	2010-11-16	Mareca strepera		USA: Missouri	North America	E1 passage(s)	1742
CY133785.1	A/mallard/Missouri/10MO084/2010	H5N9	2010-11-16	Anas platyrhynchos		USA: Missouri	North America	E1 passage(s)	1742
JN807803.1	A/chicken/Egypt/10512AG/2010	H5N1	2010-11-22	Gallus gallus		Egypt: Dakahlia	Africa		1719
JX570811.1	A/turkey/MB/FAV10/2010	H5N2	2010-11-26	Meleagris gallopavo		Canada: Manitoba	North America		1733
CY120627.1	A/American wigeon/California/3180/2010	H5N2	2010-11-27	Mareca americana		USA: Glenn County, CA	North America	E1 passage(s)	1742
JQ041400.1	A/chicken/Hebei/1102/2010	H5N2	2010-12	Gallus gallus		China	Asia		1707
JN807804.1	A/chicken/Egypt/10413SF/2010	H5N1	2010-12-10	Gallus gallus		Egypt: Menia	Africa		1716
KC790077.1	A/duck/SK/4612/2010	H5N3	2010-12-12	Anatidae		Canada: Saskatchewan	North America		1701
KC790069.1	A/duck/SK/4628/2010	H5N3	2010-12-12	Anatidae		Canada: Saskatchewan	North America		1695
CY099580.1	A/duck/Egypt/M2583D/2010	H5N1	2010-12-22	Anatidae		Egypt	Africa		1741
CY099581.1	A/duck/Egypt/Q2645C/2010	H5N1	2010-12-26	Anatidae		Egypt	Africa		1742
JX570827.1	A/northern pintail/SK/4612/2010	H5N3	2010-12-29	Anas acuta		Canada: Saskatchewan	North America		1733
JX570829.1	A/northern pintail/SK/4628/2010	H5N3	2010-12-29	Anas acuta		Canada: Saskatchewan	North America		1733
JN202559.1	A/Mallard duck/Korea/W404/2011	H5N1	2011-01	Anas platyrhynchos		South Korea	Asia		1704
MH276959.1	A/Mallard duck/New Zealand/11.214.174/2011	H5N2	2011-01	Anas platyrhynchos		New Zealand	Oceania		1725
JN807982.1	A/chicken/Korea/YS171/2011	H5N1	2011-01	Gallus gallus		South Korea	Asia		1704
MH244442.1	A/mallard duck/New Zealand/11.214.152/2011	H5N2	2011-01	Anas platyrhynchos		New Zealand	Oceania		1735
MH244444.1	A/mallard duck/New Zealand/11.214.258/2011	H5N8	2011-01	Anas platyrhynchos		New Zealand	Oceania		1726
MH244443.1	A/mallard duck/New Zealand/11.214.33/2011	H5N9	2011-01	Anas platyrhynchos		New Zealand	Oceania		1744
MW676318.1	A/DUCK/Hunan/52/2011	H5N1	2011-01-01	Anatidae		China: Hunan	Asia		1704
JN807809.1	A/chicken/Egypt/115/2011	H5N1	2011-01-05	Gallus gallus		Egypt: Six-October	Africa		1716
JN807813.1	A/chicken/Egypt/1113/2011	H5N1	2011-01-11	Gallus gallus		Egypt: Qalyobia	Africa		1716
JN807818.1	A/chicken/Egypt/1156S/2011	H5N1	2011-01-12	Gallus gallus		Egypt: Monofia	Africa		1716
KP735814.1	A/chicken/Dongtai/601/2011	H5N1	2011-01-13	Gallus gallus		China	Asia		1704
JN807821.1	A/chicken/Egypt/111AF/2011	H5N1	2011-01-20	Gallus gallus		Egypt: Fayoum	Africa		1716
JN807824.1	A/chicken/Egypt/114AF/2011	H5N1	2011-01-20	Gallus gallus		Egypt: Fayoum	Africa		1716
CY099583.1	A/goose/Egypt/M2788A/2011	H5N1	2011-01-20	Anatidae		Egypt	Africa		1742
CY099584.1	A/goose/Egypt/M2788E/2011	H5N1	2011-01-20	Anatidae		Egypt	Africa		1742
JN807830.1	A/chicken/Egypt/1158SF/2011	H5N1	2011-01-27	Gallus gallus		Egypt: Fayoum	Africa		1719
JN807978.1	A/chicken/Korea/IC546/2011	H5N1	2011-02	Gallus gallus		South Korea	Asia		1704
AB675741.1	A/chicken/Mie/1/2011	H5N1	2011-02			Japan: Mie	Asia		1704
JN807990.1	A/eurasian eagle owl/Korea/Q196/2011	H5N1	2011-02	Bubo bubo		South Korea	Asia		1704
JN807996.1	A/turkey/Korea/DDC518/2011	H5N1	2011-02	Meleagris gallopavo		South Korea	Asia		1704
JN807833.1	A/duck/Egypt/1174SF/2011	H5N1	2011-02-13	Anatidae		Egypt: Fayoum	Africa		1716
JN807836.1	A/chicken/Egypt/1197AG/2011	H5N1	2011-02-19	Gallus gallus		Egypt: Dakahlia	Africa		1716
JN807838.1	A/goose/Egypt/11162S/2011	H5N1	2011-02-22	Anatidae		Egypt: Gharbia	Africa		1716
CY099592.1	A/chicken/Egypt/S2938A/2011	H5N1	2011-02-28	Gallus gallus		Egypt	Africa		1742
JN807843.1	A/chicken/Egypt/116AD/2011	H5N1	2011-03-01	Gallus gallus		Egypt: Behera	Africa		1719
JX069081.1	A/ostrich/South Africa/AI2114/2011	H5N2	2011-03-03	Struthio camelus		South Africa	Africa		1712
JX294927.1	A/chicken/India/03CL488/2011	H5N1	2011-03-05	Gallus gallus		India	Asia		1772
JN807847.1	A/chicken/Egypt/1112AF/2011	H5N1	2011-03-06	Gallus gallus		Egypt: Fayoum	Africa		1716
JX576788.1	A/environment/Hunan/3/2011	H5N1	2011-03-07			China	Asia		1776
JN807851.1	A/duck/Egypt/11221S/2011	H5N1	2011-03-09	Anatidae		Egypt: Sharkia	Africa		1716
JQ673601.1	A/environment/Cambodia/C57W/2011	H5N1	2011-03-23			Cambodia: Takeo Province	Asia		1750
JN807859.1	A/duck/Egypt/11312S/2011	H5N1	2011-03-31	Anatidae		Egypt: Menia	Africa		1716
KP742882.1	A/chicken/Buleleng/BBVD-0224B-4/2011	H5N1	2011-04	Gallus gallus		Indonesia: Buleleng	Asia		1707
KC703342.1	A/white faced whistling duck/Colombia/1/2011	H5N2	2011-04-11	Anas platyrhynchos		Colombia	South America		1695
CY207181.1	A/white-faced whistling duck/Colombia/1/2011	H5N2	2011-04-11	Dendrocygna viduata		Colombia	South America	Egg Passage 1 passage(s)	1741
JX534549.1	A/wild duck/Shandong/1/2011	H5N1	2011-04-12	Anas platyrhynchos		China	Asia		1779
KC703334.1	A/black bellied whistling duck/Colombia/1/2011	H5N2	2011-04-13	Dendrocygna autumnalis		Colombia	South America		1695
CY207189.1	A/black-bellied whistling duck/Colombia/1/2011	H5N2	2011-04-13	Dendrocygna autumnalis		Colombia	South America	Egg Passage 2 passage(s)	1742
JX534573.1	A/wild duck/Jilin/HF/2011	H5N1	2011-04-25	Anas platyrhynchos		China	Asia		1776
OL369954.1	A/wild duck/New South Wales/M11-07138-MD12/2011	H5N3	2011-05-02	Anas platyrhynchos		Australia: New South Wales	Oceania		1734
JN807866.1	A/quail/Egypt/1171SG/2011	H5N1	2011-05-08	Galliformes		Egypt: Port-Saied	Africa		1716
CY099588.1	A/chicken/Egypt/S3280D/2011	H5N1	2011-05-12	Gallus gallus		Egypt	Africa		1742
KP732631.1	A/duck/Eastern China/L0611/2011	H5N8	2011-06-11	Anatidae		China	Asia		1704
JN807867.1	A/chicken/Egypt/11529S/2011	H5N1	2011-06-13	Gallus gallus		Egypt: Luxor	Africa		1716
CY205035.1	A/mallard/Maryland/11OS1553/2011	H5N2	2011-07-20	Anas platyrhynchos		USA: Maryland	North America	Egg1 passage(s)	1743
JQ858475.1	A/chicken/Egypt/11667s/2011	H5N1	2011-07-27	Gallus gallus		Egypt: Monofya	Africa		1726
CY132565.1	A/mallard/Ohio/11OS1961/2011	H5N2	2011-07-28	Anas platyrhynchos		USA: Ohio	North America	E1 passage(s)	1743
CY203365.1	A/mallard/Maryland/11OS1715/2011	H5N2	2011-08-11	Anas platyrhynchos		USA: MD	North America	egg 1 passage(s)	1743
CY203373.1	A/mallard/Maryland/11OS1717/2011	H5N2	2011-08-11	Anas platyrhynchos		USA: MD	North America	egg 1 passage(s)	1743
CY203381.1	A/mallard/Maryland/11OS1718/2011	H5N2	2011-08-11	Anas platyrhynchos		USA: MD	North America	egg 1 passage(s)	1743
CY203405.1	A/mallard/Maryland/11OS1727/2011	H5N2	2011-08-11	Anas platyrhynchos		USA: MD	North America	egg 1 passage(s)	1743
CY203413.1	A/mallard/Maryland/11OS1728/2011	H5N2	2011-08-11	Anas platyrhynchos		USA: MD	North America	egg 1 passage(s)	1743
CY203421.1	A/mallard/Maryland/11OS1729/2011	H5N2	2011-08-11	Anas platyrhynchos		USA: MD	North America	egg 1 passage(s)	1743
CY203437.1	A/mallard/Maryland/11OS1736/2011	H5N2	2011-08-11	Anas platyrhynchos		USA: MD	North America	egg 1 passage(s)	1743
CY203469.1	A/mallard/Maryland/11OS1741/2011	H5N2	2011-08-11	Anas platyrhynchos		USA: MD	North America	egg 1 passage(s)	1743
CY203477.1	A/mallard/Maryland/11OS1742/2011	H5N2	2011-08-11	Anas platyrhynchos		USA: MD	North America	egg 1 passage(s)	1743
CY203501.1	A/mallard/Maryland/11OS1745/2011	H5N2	2011-08-11	Anas platyrhynchos		USA: MD	North America	egg 1 passage(s)	1743
CY203533.1	A/mallard/Maryland/11OS1750/2011	H5N2	2011-08-11	Anas platyrhynchos		USA: MD	North America	egg 1 passage(s)	1743
CY133941.1	A/mallard/California/2527V/2011	H5N1	2011-08-12	Anas platyrhynchos		USA: Solano County, CA	North America	E1 passage(s)	1742
CY134005.1	A/mallard/California/2536V/2011	H5N1	2011-08-12	Anas platyrhynchos		USA: Solano County, CA	North America	E1 passage(s)	1742
CY134021.1	A/mallard/California/2542V/2011	H5N1	2011-08-12	Anas platyrhynchos		USA: Solano County, CA	North America	E1 passage(s)	1742
CY132469.1	A/mallard/Ohio/11OS2119/2011	H5N2	2011-08-13	Anas platyrhynchos		USA: Ohio	North America	E1 passage(s)	1743
CY132461.1	A/mallard/Ohio/11OS2239/2011	H5N2	2011-08-19	Anas platyrhynchos		USA: Ohio	North America	E1 passage(s)	1743
CY132485.1	A/mallard/Ohio/11OS2156/2011	H5N2	2011-08-22	Anas platyrhynchos		USA: Ohio	North America	E1 passage(s)	1743
MK592573.1	A/duck/Mongolia/194/2011	H5N3	2011-08-27	Anas platyrhynchos		Mongolia	Asia		1752
KF462362.1	A/European teal/Novosibirsk/203/2011	H5N1	2011-09-03	Anas crecca		Russia	Europe		1695
KF462364.1	A/European teal/Novosibirsk/239/2011	H5N1	2011-09-03	Anas crecca		Russia	Europe		1695
KF462366.1	A/European teal/Novosibirsk/261/2011	H5N1	2011-09-03	Anas crecca		Russia	Europe		1695
JX912995.1	A/chicken/Egypt/S3806B/2011	H5N1	2011-09-04	Gallus gallus		Egypt	Africa		1742
JX912992.1	A/chicken/Egypt/S3802B/2011	H5N1	2011-09-08	Gallus gallus		Egypt	Africa		1742
CY206115.1	A/mallard/Minnesota/AI11-4429/2011	H5N1	2011-09-15	Anas platyrhynchos		USA: Minnesota, Marshall County	North America	E1 passage(s)	1743
KY130664.1	A/glaucous-winged gull/Alaska/392/2011	H5N2	2011-09-20	Larus glaucescens		USA: Izembek National Wildlife Refuge, Alaska	North America		1767
JQ737221.1	A/mallard/Czech Republic/14602-37K/2011	H5N2	2011-09-21	Anas platyrhynchos		Czech Republic: South Moravia Region, Vlasatice	Europe		1733
CY206179.1	A/mallard/Minnesota/AI11-4897/2011	H5N2	2011-09-22	Anas platyrhynchos		USA: Minnesota, Marshall County	North America	E1 passage(s)	1743
JX570839.1	A/spot-billed duck/Xianghai/427/2011	H5N2	2011-10	Anas platyrhynchos		China	Asia		1695
KF501050.1	A/wild bird/Mongolia/2066/2011	H5N3	2011-10-08	Aves		Mongolia	Asia		1716
CY166645.1	A/American green-winged teal/Wisconsin/11OS3432/2011	H5N2	2011-10-16	Anas carolinensis		USA: Wisconsin	North America	Egg 1 passage(s)	1743
CY149348.1	A/great black-backed gull/Iceland/1110/2011	H5N2	2011-10-16	Larus marinus		Iceland	Europe	egg passage(s)	1733
KX979009.1	A/mallard duck/Netherlands/32/2011	H5N2	2011-10-20	Anas platyrhynchos		Netherlands	Europe		1767
KP714448.1	A/mule duck/Bulgaria/25/2011	H5N2	2011-10-22	Anas platyrhynchos		Bulgaria: Plovdiv	Europe		1695
CY146644.1	A/duck/Hunan/S4030/2011	H5N1	2011-11-09	Anatidae		China: Hunan	Asia	E1 passage(s)	1704
CY146668.1	A/duck/Hunan/S4120/2011	H5N2	2011-11-11	Anatidae		China: Hunan	Asia	E1 passage(s)	1692
CY146676.1	A/duck/Hunan/S4124/2011	H5N2	2011-11-11	Anatidae		China: Hunan	Asia	E1 passage(s)	1692
KP714403.1	A/mule duck/Bulgaria/237/2011	H5N2	2011-11-23	Anas platyrhynchos		Bulgaria: Plovdiv	Europe		1695
MK743999.1	A/chicken/Jiangxi/25/2011	H5N1	2011-12-03	Gallus gallus		China: Jiangxi	Asia		1707
MK744015.1	A/duck/Jiangxi/130/2011	H5N1	2011-12-03	Anatidae		China: Jiangxi	Asia		1707
CY166824.1	A/American widgeon/Mississippi/11OS6097/2011	H5N3	2011-12-10	Mareca americana		USA: Mississippi	North America	Egg 1 passage(s)	1743
JQ858482.1	A/chicken/Egypt/11765s/2011	H5N1	2011-12-13	Gallus gallus		Egypt: Monofya	Africa		1770
KC631944.1	A/chicken/China/JX/2011	H5N1	2011-12-18	Gallus gallus		China: eastern	Asia		1704
KM386927.1	A/chicken/India/01CA01/2012	H5N1	2012-01	Gallus gallus		India	Asia		1695
KJ643888.1	A/chicken/India/01CA03/2012	H5N1	2012-01-04	Gallus gallus		India	Asia		1737
JQ858483.1	A/chicken/Egypt/121/2012	H5N1	2012-01-06	Gallus gallus		Egypt: Menia	Africa		1704
CY167175.1	A/American green-winged teal/Mississippi/12OS191/2012	H5N3	2012-01-16	Anas carolinensis		USA: Mississippi	North America	Egg 1 passage(s)	1742
CY167192.1	A/American green-winged teal/Mississippi/12OS311/2012	H5N3	2012-01-17	Anas carolinensis		USA: Mississippi	North America	Egg 1 passage(s)	1743
KF888522.1	A/chicken/Bangladesh/15083/2012	H5N1	2012-01-18	Gallus gallus		Bangladesh	Asia		1704
KF888461.1	A/chicken/Bangladesh/15210/2012	H5N1	2012-01-18	Gallus gallus		Bangladesh	Asia		1704
KF258175.1	A/duck/Egypt/Q4596A/2012	H5N1	2012-01-19	Anatidae		Egypt	Africa		1756
KF881408.1	A/duck/Egypt/Q4596B/2012	H5N1	2012-01-19	Anatidae		Egypt	Africa		1761
JX912988.1	A/duck/Egypt/Q4596C/2012	H5N1	2012-01-19	Anatidae		Egypt	Africa		1742
JX912994.1	A/duck/Egypt/Q4596D/2012	H5N1	2012-01-19	Anatidae		Egypt	Africa		1752
KJ682302.1	A/chicken/Bhutan/505/2012	H5N1	2012-01-23	Gallus gallus		Bhutan	Asia		1704
KX513392.1	A/duck/Vietnam/QT1455-1/2012	H5N1	2012-01-25	Anas platyrhynchos		Viet Nam	Asia		1776
KJ682248.1	A/chicken/Bhutan/345/2012	H5N1	2012-01-29	Gallus gallus		Bhutan	Asia		1704
JQ858488.1	A/chicken/Egypt/12186F-12/2012	H5N1	2012-02	Gallus gallus		Egypt	Africa		1760
JQ858487.1	A/chicken/Egypt/12186F-9/2012	H5N1	2012-02	Gallus gallus		Egypt	Africa		1761
CY111533.1	A/duck/Victoria/0305-2/2012	H5N3	2012-02-01	Anatidae		Australia: Victoria	Oceania	E2 passage(s)	1732
KX513187.1	A/duck/Vietnam/QT1481/2012	H5N1	2012-02-03	Anas platyrhynchos		Viet Nam	Asia		1776
KF888448.1	A/environment/Bangladesh/15661/2012	H5N1	2012-02-08			Bangladesh	Asia		1704
KJ682290.1	A/chicken/Bhutan/258/2012	H5N1	2012-02-14	Gallus gallus		Bhutan	Asia		1704
JX456101.1	A/Egypt/N00951/2012	H5N1	2012-02-21	Homo sapiens		Egypt: Beheira	Africa		1704
KJ522708.1	A/chicken/Egypt/123AS/2012	H5N1	2012-02-28	Gallus gallus		Egypt: Dakahlia	Africa		1704
MW055287.1	A/Ruddy Turnstone/Florida/AI12-1161/2012	H5N9	2012-03-09	Arenaria interpres		USA	North America	ECE	1704
MW055352.1	A/Ruddy Turnstone/Florida/AI12-1244/2012	H5N9	2012-03-09	Arenaria interpres		USA	North America	ECE	1707
MW055395.1	A/Ruddy Turnstone/Florida/AI12-1476/2012	H5N9	2012-03-10	Arenaria interpres		USA	North America	ECE	1710
KJ682306.1	A/chicken/Bhutan/1028/2012	H5N1	2012-03-18	Gallus gallus		Bhutan	Asia		1704
KJ682264.1	A/chicken/Bhutan/1029/2012	H5N1	2012-03-18	Gallus gallus		Bhutan	Asia		1704
