accession	strain	subtype	date	host_specific	host_tax_id	host_general	host_order	location	region	passage_history	length
CY088278.1	A/England/487/2003	H3N2	2003-11-24	Homo sapiens	9606	human	Primates	United Kingdom: Reading	Europe	C1 passage(s)	1701
CY088382.1	A/England/532/2003	H3N2	2003-11-27	Homo sapiens	9606	human	Primates	United Kingdom: London	Europe	C1 passage(s)	1701
CY088475.1	A/England/4024313/2003	H3N2	2003-12	Homo sapiens	9606	human	Primates	United Kingdom	Europe		1701
CY088350.1	A/England/567/2003	H3N2	2003-12-04	Homo sapiens	9606	human	Primates	United Kingdom: Nottingham	Europe	C1 passage(s)	1701
CY001293.1	A/New York/37/2003	H3N2	2003-12-04	Homo sapiens	9606	human	Primates	USA: Rensselaer county, NY	North America	RhMK 1 passage(s)	1732
CY000505.1	A/New York/4/2003	H3N2	2003-12-08	Homo sapiens	9606	human	Primates	USA: New York County, NY	North America	RhMK 1 passage(s)	1760
CY000153.1	A/New York/41/2003	H3N2	2003-12-08	Homo sapiens	9606	human	Primates	USA: Ontario County, NY	North America	RhMK 1 passage(s)	1760
CY088465.1	A/England/602/2003	H3N2	2003-12-14	Homo sapiens	9606	human	Primates	United Kingdom: Bristol	Europe	C1 passage(s)	1701
CY000105.1	A/New York/60A/2003	H3N2	2003-12-15	Homo sapiens	9606	human	Primates	USA: Yates County, NY	North America	RhMK 1 passage(s)	1741
CY088449.1	A/England/592/2003	H3N2	2003-12-16	Homo sapiens	9606	human	Primates	United Kingdom: Cambridge	Europe	C1 passage(s)	1701
CY091173.1	A/California/NHRC0003/2003	H3N2	2003-12-17	Homo sapiens	9606	human	Primates	USA: San Diego, CA	North America	P0 passage(s)	1731
CY088414.1	A/England/552/2003	H3N2	2003-12-18	Homo sapiens	9606	human	Primates	United Kingdom: Stoke-on-trent	Europe	C1 passage(s)	1701
CY001045.1	A/New York/8/2003	H3N2	2003-12-29	Homo sapiens	9606	human	Primates	USA: Kings County, NY	North America	RhMK 1 passage(s)	1760
EU857094.1	A/Hong Kong/CUHK83422/2003	H3N2	2003-12-30	Homo sapiens	9606	human	Primates	China: Hong Kong	Asia		1701
CY008876.1	A/New York/474/2003	H3N2	2003-12-31	Homo sapiens	9606	human	Primates	USA: New York county County, NY	North America	R-Mix 1 RhMK 1 passage(s)	1721
MK361588.1	A/swine/Damme/IDT2890/2004	H3N2	2004-01-02	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Damme	Europe		1736
CY000561.1	A/New York/69/2004	H3N2	2004-01-06	Homo sapiens	9606	human	Primates	USA: Jefferson County, NY	North America	RhMK 1 passage(s)	1711
CY009260.1	A/New York/499/2004	H3N2	2004-01-15	Homo sapiens	9606	human	Primates	USA: Nassau county, NY	North America	R-Mix 1 RhMK 1 passage(s)	1721
MK332398.1	A/swine/Hassendorf/2929/2004	H3N1	2004-01-26	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Hassendorf	Europe		1765
CY104140.1	A/HaNoi/HN30110/2004	H3N2	2004-01-30	Homo sapiens	9606	human	Primates	Viet Nam: HaNoi	Asia	MDCK passage(s)	1735
CY105286.1	A/HaNoi/HN30130/2004	H3N2	2004-02-02	Homo sapiens	9606	human	Primates	Viet Nam: HaNoi	Asia	MDCK passage(s)	1735
CY105310.1	A/HaNoi/HN30147/2004	H3N2	2004-02-05	Homo sapiens	9606	human	Primates	Viet Nam: HaNoi	Asia	MDCK passage(s)	1731
CY038951.1	A/Hong Kong/HKU6/2004	H3N2	2004-03-06	Homo sapiens	9606	human	Primates	Hong Kong	Asia	MDCK passage(s)	1701
MK361611.1	A/swine/Delmenhorst/3025/2004	H3N2	2004-03-11	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Delmenhorst	Europe		1765
MK361603.1	A/swine/Uedem/3024/2004	H3N2	2004-03-12	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Uedem	Europe		1765
MK361619.1	A/swine/Seesen/IDT3055/2004	H3N2	2004-03-15	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Seesen	Europe		1760
CY100260.1	A/Hong Kong/HKU119/2004	H3N2	2004-04-27	Homo sapiens	9606	human	Primates	Hong Kong	Asia		1698
EU856984.1	A/Hong Kong/CUHK33851/2004	H3N2	2004-05-08	Homo sapiens	9606	human	Primates	China: Hong Kong	Asia		1701
MK361626.1	A/swine/Appel/3339/2004	H3N2	2004-07-05	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Appel	Europe		1765
CY002905.1	A/Christchurch/10/2004	H3N2	2004-07-20	Homo sapiens	9606	human	Primates	New Zealand: Christchurch	Oceania	MDCK2 passage(s)	1737
CY038631.1	A/Hong Kong/HKU29/2004	H3N2	2004-07-21	Homo sapiens	9606	human	Primates	Hong Kong	Asia	MDCK passage(s)	1713
MK361634.1	A/swine/Lohne/IDT3357/2004	H3N2	2004-07-26	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Lohne	Europe		1760
CY039039.1	A/Hong Kong/HKU33/2004	H3N2	2004-08-09	Homo sapiens	9606	human	Primates	Hong Kong	Asia	MDCK passage(s)	1726
CY100364.1	A/Hong Kong/HKU92/2004	H3N2	2004-08-30	Homo sapiens	9606	human	Primates	Hong Kong	Asia		1698
EU857055.1	A/Hong Kong/CUHK53766/2004	H3N2	2004-09-03	Homo sapiens	9606	human	Primates	China: Hong Kong	Asia		1701
CY007427.1	A/Canterbury/101/2004	H3N2	2004-09-09	Homo sapiens	9606	human	Primates	New Zealand: Canterbury	Oceania	MDCK2 passage(s)	1721
CY007435.1	A/Canterbury/102/2004	H3N2	2004-09-09	Homo sapiens	9606	human	Primates	New Zealand: Canterbury	Oceania	MDCK2 passage(s)	1721
CY007443.1	A/Canterbury/103/2004	H3N2	2004-09-09	Homo sapiens	9606	human	Primates	New Zealand: Canterbury	Oceania	MDCK2 passage(s)	1721
CY007475.1	A/Canterbury/107/2004	H3N2	2004-09-12	Homo sapiens	9606	human	Primates	New Zealand: Canterbury	Oceania	MDCK2 passage(s)	1721
CY039965.1	A/Canterbury/200/2004(H3N2)	H3N2	2004-09-16	Homo sapiens	9606	human	Primates	New Zealand: Canterbury	Oceania	MDCK2 passage(s)	1721
CY007483.1	A/Canterbury/201/2004	H3N2	2004-09-16	Homo sapiens	9606	human	Primates	New Zealand: Canterbury	Oceania	MDCK2 passage(s)	1721
CY003656.1	A/New York/468/2004	H3N2	2004-09-17	Homo sapiens	9606	human	Primates	USA: New York County, NY	North America	R-Mix 1 RhMK 1 passage(s)	1737
MF146299.1	A/mallard duck/Netherlands/1/2004	H3N8	2004-09-18	Anas platyrhynchos	8839	avian	Anseriformes	Netherlands	Europe		1765
CY091437.1	A/Malaysia/NHRC0003/2004	H3N2	2004-09-26	Homo sapiens	9606	human	Primates	Malaysia	Asia	P0 passage(s)	1735
CY013517.1	A/Wellington/58/2004	H3N2	2004-09-27	Homo sapiens	9606	human	Primates	New Zealand: Taranaki	Oceania	MDCK2 passage(s)	1704
CY017603.1	A/Queensland/49/2004	H3N2	2004-10-01	Homo sapiens	9606	human	Primates	Australia: Townsville, Queensland	Oceania	MDCK 3 passage(s)	1716
CY007555.1	A/Canterbury/304/2004	H3N2	2004-10-04	Homo sapiens	9606	human	Primates	New Zealand: Canterbury	Oceania	MDCK2 passage(s)	1721
CY118810.1	A/Malaysia/29890/2004	H3N2	2004-10-06	Homo sapiens	9606	human	Primates	Malaysia	Asia	P1 passage(s)	1732
CY017973.1	A/Queensland/46/2004	H3N2	2004-10-09	Homo sapiens	9606	human	Primates	Australia: Townsville, Queensland	Oceania	MDCK 3 passage(s)	1718
CY015940.1	A/Western Australia/59/2004	H3N2	2004-10-17	Homo sapiens	9606	human	Primates	Australia: Warburton, WA	Oceania	MDCK passage(s)	1721
CY157703.1	A/swine/Texas/SG1186/2004	H3N2	2004-10-22	Sus scrofa	9823	non-human mammal	Artiodactyla	USA: Texas	North America	MDCK 1 passage(s)	1721
EU855742.1	A/equine/Guelph/G04-54701/2004	H3N8	2004-11-18	Equus caballus	9796	non-human mammal	Perissodactyla	Canada: Guelph	North America		1698
CY002176.1	A/New York/356/2004	H3N2	2004-12-01	Homo sapiens	9606	human	Primates	USA: Westchester County, NY	North America	RhMK 1 passage(s)	1761
MK361649.1	A/swine/Hoerstel/3763/2004	H3N2	2004-12-06	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Hoerstel	Europe		1765
CY002432.1	A/New York/362/2004	H3N2	2004-12-08	Homo sapiens	9606	human	Primates	USA: Cayuga County, NY	North America	RhMK 1 passage(s)	1736
CY009268.1	A/New York/500/2004	H3N2	2004-12-10	Homo sapiens	9606	human	Primates	USA: Delaware county, New York	North America	RhMK 1 passage(s)	1721
MK361641.1	A/swine/Sassenberg/3762/2004	H3N2	2004-12-17	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Sassenberg	Europe		1765
MK361657.1	A/swine/Melle/3764/2004	H3N2	2004-12-18	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Melle	Europe		1765
CY002224.1	A/New York/372/2004	H3N2	2004-12-22	Homo sapiens	9606	human	Primates	USA: Erie County, NY	North America	RhMK 1 passage(s)	1761
MK361665.1	A/swine/Geseke/3766/2004	H3N2	2004-12-22	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Geseke	Europe		1765
CY021989.1	A/New York/908/2004	H3N2	2004-12-27	Homo sapiens	9606	human	Primates	USA: Orleans County, NY	North America		1721
CY002248.1	A/New York/381/2004	H3N2	2004-12-28	Homo sapiens	9606	human	Primates	USA: Orleans County, NY	North America	RhMK 1 passage(s)	1731
CY157735.1	A/swine/North Carolina/SG1197/2004	H3N2	2004-12-30	Sus scrofa	9823	non-human mammal	Artiodactyla	USA: North Carolina	North America	MDCK 1 passage(s)	1737
CY090981.1	A/Missouri/NHRC0001/2005	H3N2	2005-01-12	Homo sapiens	9606	human	Primates	USA: Pulaski county, MO	North America	P0 passage(s)	1732
CY158601.1	A/swine/Manitoba/00446/2005	H3N2	2005-01-25	Sus scrofa	9823	non-human mammal	Artiodactyla	Canada: Manitoba	North America	MDCK 1 passage(s)	1729
MK361681.1	A/swine/Huerth/3870/2005	H3N2	2005-02-02	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Huerth	Europe		1765
MK361689.1	A/swine/Huerth/3871/2005	H3N2	2005-02-02	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Huerth	Europe		1765
MK361673.1	A/swine/Bohmte/3856/2005	H3N2	2005-02-03	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Bohmte	Europe		1765
MK361721.1	A/swine/Isterberg/3951/2005	H3N2	2005-03-08	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Isterberg	Europe		1765
MK361737.1	A/swine/Ruhstorf/3972/2005	H3N2	2005-03-17	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Ruhstorf	Europe		1765
CY039063.1	A/Hong Kong/HKU47/2005	H3N2	2005-03-19	Homo sapiens	9606	human	Primates	Hong Kong	Asia	MDCK passage(s)	1716
EU856814.1	A/Hong Kong/CUHK10026/2005	H3N2	2005-04-02	Homo sapiens	9606	human	Primates	China: Hong Kong	Asia		1701
MK361752.1	A/swine/Gescher/4011/2005	H3N2	2005-04-06	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Gescher	Europe		1765
CY100388.1	A/Hong Kong/HKU96/2005	H3N2	2005-05-02	Homo sapiens	9606	human	Primates	Hong Kong	Asia		1698
EU856842.1	A/Hong Kong/CUHK12320/2005	H3N2	2005-05-04	Homo sapiens	9606	human	Primates	China: Hong Kong	Asia		1701
CY039207.1	A/Hong Kong/HKU58/2005	H3N2	2005-05-05	Homo sapiens	9606	human	Primates	Hong Kong	Asia	MDCK passage(s)	1707
MK361776.1	A/swine/Damme/4091/2005	H3N2	2005-05-09	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Damme	Europe		1765
CY100140.1	A/Hong Kong/HKU100/2005	H3N2	2005-05-10	Homo sapiens	9606	human	Primates	Hong Kong	Asia		1698
MH597816.1	A/ruddy turnstone/New Jersey/1321419/2005	H3N9	2005-05-17	Arenaria interpres	54971	avian	Charadriiformes	USA: New Jersey	North America		1740
CY144627.1	A/ruddy turnstone/New Jersey/AI05-1094/2005	H3N6	2005-05-17	Arenaria interpres	54971	avian	Charadriiformes	USA: Reed's Beach, Cape May county, NJ	North America	E2 passage(s)	1740
CY102865.1	A/shorebird/Delaware Bay/170/2005	H3N6	2005-05-19	Aves	8782	avian		USA: New Jersey	North America	E1 passage(s)	1740
CY039247.1	A/Hong Kong/HKU66/2005	H3N2	2005-05-21	Homo sapiens	9606	human	Primates	Hong Kong	Asia	MDCK passage(s)	1724
CY102908.1	A/shorebird/Delaware Bay/435/2005	H3N8	2005-05-21	Aves	8782	avian		USA: New Jersey	North America	E1 passage(s)	1740
CY102927.1	A/shorebird/Delaware Bay/450/2005	H3N8	2005-05-21	Aves	8782	avian		USA: New Jersey	North America	E1 passage(s)	1740
CY100172.1	A/Hong Kong/HKU105/2005	H3N2	2005-05-24	Homo sapiens	9606	human	Primates	Hong Kong	Asia		1698
CY091333.1	A/Australia/NHRC0013/2005	H3N2	2005-06-15	Homo sapiens	9606	human	Primates	Australia	Oceania	P0 passage(s)	1735
MK361813.1	A/swine/Herzebrock-Clarholz/4193/2005	H3N2	2005-06-16	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Herzebrock-Clarholz	Europe		1765
CY016979.1	A/Western Australia/69/2005	H3N2	2005-07-05	Homo sapiens	9606	human	Primates	Australia: Collie, WA	Oceania	MDCK passage(s)	1721
CY008083.1	A/Canterbury/166/2005	H3N2	2005-07-08	Homo sapiens	9606	human	Primates	New Zealand: Canterbury	Oceania	MDCK2 passage(s)	1721
CY118834.1	A/Malaysia/31998/2005	H3N2	2005-07-15	Homo sapiens	9606	human	Primates	Malaysia	Asia	P1 passage(s)	1732
CY008380.1	A/Canterbury/220/2005	H3N2	2005-07-16	Homo sapiens	9606	human	Primates	New Zealand: Canterbury	Oceania	MDCK2 passage(s)	1721
CY008099.1	A/Canterbury/212/2005	H3N2	2005-07-20	Homo sapiens	9606	human	Primates	New Zealand: Canterbury	Oceania	MDCK2 passage(s)	1721
CY016987.1	A/Western Australia/72/2005	H3N2	2005-07-21	Homo sapiens	9606	human	Primates	Australia: Collie, WA	Oceania	MDCK passage(s)	1721
CY008580.1	A/Canterbury/233/2005	H3N2	2005-07-24	Homo sapiens	9606	human	Primates	New Zealand: Canterbury	Oceania	MDCK2 passage(s)	1721
CY008107.1	A/Canterbury/259/2005	H3N2	2005-08-01	Homo sapiens	9606	human	Primates	New Zealand: Canterbury	Oceania	MDCK2 passage(s)	1721
CY118858.1	A/Malaysia/32226/2005	H3N2	2005-08-10	Homo sapiens	9606	human	Primates	Malaysia	Asia	P1 passage(s)	1734
CY016180.1	A/pintail/Alaska/211/2005	H3N8	2005-08-10	Anas acuta	28680	avian	Anseriformes	USA: AK	North America	limiting dilution in egg 1 passage(s)	1731
CY015500.1	A/pintail/Alaska/279/2005	H3N8	2005-08-11	Anas acuta	28680	avian	Anseriformes	USA: AK	North America	limiting dilution in egg 1 passage(s)	1731
CY010084.3	A/Canterbury/250/2005	H3N2	2005-08-16	Homo sapiens	9606	human	Primates	New Zealand: Canterbury	Oceania	MDCK2 passage(s)	1721
CY105390.1	A/TayNguyen/TN363/2005	H3N2	2005-08-18	Homo sapiens	9606	human	Primates	Viet Nam: TayNguyen	Asia	MDCK 2 passage(s)	1731
CY015636.1	A/Waikato/10/2005	H3N2	2005-08-26	Homo sapiens	9606	human	Primates	New Zealand: Waikato	Oceania	MDCK passage(s)	1721
KX815373.1	A/equine/Argentina/E6189-3/2005	H3N8	2005-08-28	Equus caballus	9796	non-human mammal	Perissodactyla	Argentina	South America		1698
CY037007.1	A/blue-winged teal/Manitoba/13436/2005	H3N8	2005-08-30	Spatula discors	75842	avian	Anseriformes	Canada: Manitoba	North America	egg 1 passage(s)	1722
CY008628.1	A/Canterbury/257/2005	H3N2	2005-08-31	Homo sapiens	9606	human	Primates	New Zealand: Canterbury	Oceania	MDCK2 passage(s)	1722
CY022573.1	A/Auckland/616/2005	H3N2	2005-09-29	Homo sapiens	9606	human	Primates	New Zealand: Auckland	Oceania	MDCK passage(s)	1723
MK361850.1	A/swine/Neuenhaus/4515/2005	H3N2	2005-09-30	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Neuenhaus	Europe		1765
KX815375.1	A/equine/Argentina/E6424-1/2005	H3N8	2005-10-04	Equus caballus	9796	non-human mammal	Perissodactyla	Argentina	South America		1698
KX815374.1	A/equine/Argentina/E6424-2/2005	H3N8	2005-10-04	Equus caballus	9796	non-human mammal	Perissodactyla	Argentina	South America		1698
MK361858.1	A/swine/Schapen/4566/2005	H3N2	2005-10-17	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Schapen	Europe		1765
MK332414.1	A/swine/Feldbach/4589/2005	H3N1	2005-10-20	Sus scrofa	9823	non-human mammal	Artiodactyla	Austria: Feldbach	Europe		1765
OR949892.1	A/duck/Tainan/05WB11-787-11-15-E2/2005	H3N6	2005-11-06	Anatidae	8830	avian	Anseriformes	Taiwan: Tainan	Asia		1765
CY067558.1	A/equine/Virginia/131054-3/2005	H3N8	2005-11-08	Equus caballus	9796	non-human mammal	Perissodactyla	USA: Virginia	North America	E2 passage(s)	1695
MK361882.1	A/swine/Brilon/4685/2005	H3N2	2005-11-25	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Brilon	Europe		1765
CY173599.1	A/New York/1003/2005	H3N2	2005-12-20	Homo sapiens	9606	human	Primates	USA: New York County, NY	North America	RhMK1 passage(s)	1707
GU473367.1	A/canine/Florida/14/2006	H3N8	2006-01-04	Canis lupus familiaris	9615	non-human mammal	Carnivora	USA	North America		1698
CY105878.1	A/TayNguyen/HCM52/2006	H3N2	2006-01-10	Homo sapiens	9606	human	Primates	Viet Nam: TayNguyen	Asia	MDCK passage(s)	1731
CY118882.1	A/Malaysia/33827/2006	H3N2	2006-01-11	Homo sapiens	9606	human	Primates	Malaysia	Asia	P2 passage(s)	1731
OL369940.1	A/mallard/Tasmania/06-0297-31/2006	H3N8	2006-02-03	Anas platyrhynchos	8839	avian	Anseriformes	Australia: Tasmania	Oceania		1750
CY172271.1	A/New York/1014/2006	H3N2	2006-02-07	Homo sapiens	9606	human	Primates	USA: Westchester County, NY	North America		1731
CY172375.1	A/New York/1027/2006	H3N2	2006-02-17	Homo sapiens	9606	human	Primates	USA: Greene County, NY	North America		1721
CY067366.1	A/canine/Colorado/17864/2006	H3N8	2006-02-17	Canis lupus familiaris	9615	non-human mammal	Carnivora	USA: Colorado	North America	E1 passage(s)	1695
CY160161.1	A/swine/Quebec/01000/2006	H3N2	2006-02-23	Sus scrofa	9823	non-human mammal	Artiodactyla	Canada: Quebec	North America	MDCK 2 passage(s)	1720
MK361946.1	A/swine/Daseburg/5022/2006	H3N2	2006-02-24	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Daseburg	Europe		1765
CY114389.1	A/Netherlands/42/2006	H3N2	2006-02-25	Homo sapiens	9606	human	Primates	Netherlands	Europe	xMDCK1 passage(s)	1732
CY172407.1	A/New York/1031/2006	H3N2	2006-02-28	Homo sapiens	9606	human	Primates	USA: Chautauqua County, NY	North America		1721
CY020125.1	A/New York/938/2006	H3N2	2006-03-02	Homo sapiens	9606	human	Primates	USA: Erie County, NY	North America	MDCK 1 passage(s)	1716
MK361970.1	A/swine/Bad Rothenfelde/5179/2006	H3N2	2006-04-24	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Bad Rothenfelde	Europe		1765
MK361978.1	A/swine/Melle/5190/2006	H3N2	2006-04-25	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Melle	Europe		1765
MK361986.1	A/swine/Gescher/5194/2006	H3N2	2006-04-27	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Gescher	Europe		1765
HQ917680.1	A/canine/Colorado/3/2006	H3N8	2006-04-28	Canis lupus familiaris	9615	non-human mammal	Carnivora	USA	North America		1695
MK361994.1	A/swine/Nienburg/5208/2006	H3N2	2006-04-30	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Nienburg	Europe		1765
CY067518.1	A/canine/Florida/61156-2/2006	H3N8	2006-05-15	Canis lupus familiaris	9615	non-human mammal	Carnivora	USA: Florida	North America	C2 passage(s)	1695
MK362002.1	A/swine/Salzkotten/5275/2006	H3N2	2006-05-23	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Salzkotten	Europe		1765
EU857062.1	A/Hong Kong/CUHK60052/2006	H3N2	2006-06-29	Homo sapiens	9606	human	Primates	China: Hong Kong	Asia		1698
EU926631.1	A/equine/Lonquen/1/2006	H3N8	2006-07	Equus caballus	9796	non-human mammal	Perissodactyla	Chile	South America	embryonated chicken eggs	1698
AB470296.1	A/pelican/Zambia/01/2006	H3N6	2006-08					Zambia: Lochinvar National Park	Africa		1736
OR721195.1	A/Shanghai/PD245C3/2006	H3N2	2006-08-04	Homo sapiens	9606	human	Primates	China: Shanghai	Asia	MDCK 3 passage(s)	1701
OR721203.1	A/Shanghai/PD246C3/2006	H3N2	2006-08-07	Homo sapiens	9606	human	Primates	China: Shanghai	Asia	MDCK 3 passage(s)	1701
OR721211.1	A/Shanghai/PD249C3/2006	H3N2	2006-08-09	Homo sapiens	9606	human	Primates	China: Shanghai	Asia	MDCK 3 passage(s)	1701
MK362055.1	A/swine/Erwitte/5477/2006	H3N2	2006-08-15	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Erwitte	Europe		1765
CY078603.1	A/mallard/Interior Alaska/6MP0951/2006	H3N8	2006-08-18	Anas platyrhynchos	8839	avian	Anseriformes	USA: Minto Flats, Interior Alaska	North America	E1 passage(s)	1734
OR720067.1	A/Shanghai/NH151C3/2006	H3N2	2006-08-21	Homo sapiens	9606	human	Primates	China: Shanghai	Asia	MDCK 3 passage(s)	1701
KX978829.1	A/gadwall duck/Netherlands/3/2006	H3N8	2006-09-03	Mareca strepera	75861	avian	Anseriformes	Netherlands	Europe		1765
MK362071.1	A/swine/Papenburg/5564/2006	H3N2	2006-09-27	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Papenburg	Europe		1765
HQ917679.1	A/canine/Colorado/148902/2006	H3N8	2006-10-30	Canis lupus familiaris	9615	non-human mammal	Carnivora	USA	North America		1695
CY118922.1	A/Malaysia/1674395/2006	H3N2	2006-11-15	Homo sapiens	9606	human	Primates	Malaysia	Asia	P1 passage(s)	1732
CY118938.1	A/Malaysia/1681079/2006	H3N2	2006-11-24	Homo sapiens	9606	human	Primates	Malaysia	Asia	P1 passage(s)	1731
EU857013.1	A/Hong Kong/CUHK45130/2006	H3N2	2006-12-04	Homo sapiens	9606	human	Primates	China: Hong Kong	Asia		1698
GQ415320.1	A/mallard/Switzerland/WV4060167/2006	H3N5	2006-12-15	Anas platyrhynchos	8839	avian	Anseriformes	Switzerland	Europe		1701
CY114397.1	A/Netherlands/363/2006	H3N2	2006-12-24	Homo sapiens	9606	human	Primates	Netherlands	Europe	xE1 passage(s)	1734
FJ519973.1	A/swine/Minnesota/66960/2006	H3N2	2006-12-26	Sus scrofa	9823	non-human mammal	Artiodactyla	USA	North America		1762
EU857078.1	A/Hong Kong/CUHK68792/2006	H3N2	2006-12-27	Homo sapiens	9606	human	Primates	China: Hong Kong	Asia		1698
OR721227.1	A/Shanghai/PD275C2/2006	H3N2	2006-12-27	Homo sapiens	9606	human	Primates	China: Shanghai	Asia	MDCK 2 passage(s)	1701
CY104548.1	A/BacNinh/N52/2007	H3N2	2007-01-02	Homo sapiens	9606	human	Primates	Viet Nam: BacNinh	Asia		1731
KP458805.1	A/Hunan Furong/13/2007	H3N2	2007-01-03	Homo sapiens	9606	human	Primates	China: Hunan	Asia		1698
KP456887.1	A/Lyon/22/2007	H3N2	2007-01-03	Homo sapiens	9606	human	Primates	France	Europe		1698
CY026307.1	A/Virginia/UR06-0021/2007	H3N2	2007-01-08	Homo sapiens	9606	human	Primates	USA: Virginia, Dale City	North America	Primary Specimen passage(s)	1722
KP456767.1	A/Hebei Yunhe/33/2007	H3N2	2007-01-13	Homo sapiens	9606	human	Primates	China: Hebei	Asia		1698
KP457864.1	A/Brisbane/04/2007	H3N2	2007-01-18	Homo sapiens	9606	human	Primates	Australia: Queensland	Oceania		1698
CY105806.1	A/HaNoi/TX072/2007	H3N2	2007-01-29	Homo sapiens	9606	human	Primates	Viet Nam: HaNoi	Asia	MDCK passage(s)	1724
KJ609214.1	A/Brisbane/10/2007	H3N2	2007-02-06	Homo sapiens	9606	human	Primates	Australia	Oceania		1719
CY035022.1	A/Brisbane/10/2007	H3N2	2007-02-06	Homo sapiens	9606	human	Primates	Australia: Brisbane	Oceania	Egg passage(s)	1714
CY105494.1	A/HaNoi/BM38/2007	H3N2	2007-02-09	Homo sapiens	9606	human	Primates	Viet Nam: HaNoi	Asia	E passage(s)	1735
KX571022.1	A/Brisbane/E1/2007	H3N2	2007-02-12	Homo sapiens	9606	human	Primates	Australia	Oceania		1759
CY159385.1	A/swine/North Carolina/01469/2007	H3N2	2007-02-21	Sus scrofa	9823	non-human mammal	Artiodactyla	USA: North Carolina	North America	MDCK 1 passage(s)	1737
KP458122.1	A/Minsk/137/2007	H3N2	2007-02-26	Homo sapiens	9606	human	Primates	Belarus	Europe		1698
CY025715.1	A/New York/UR06-0437/2007	H3N2	2007-02-27	Homo sapiens	9606	human	Primates	USA: New York, Bronx	North America	Primary Specimen passage(s)	1721
MK362185.1	A/swine/Rinkerode/5967/2007	H3N2	2007-03-02	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Rinkerode	Europe		1765
MN530425.1	A/mallard/South Korea/N07-0347/2007	H3N8	2007-03-06	Anas platyrhynchos	8839	avian	Anseriformes	South Korea	Asia		1701
MK362193.1	A/swine/Vreden/5982/2007	H3N2	2007-03-08	Sus scrofa	9823	non-human mammal	Artiodactyla	Germany: Vreden	Europe		1765
MN530435.1	A/white peckin duck/South Korea/N07-0448/2007	H3N2	2007-03-17					South Korea	Asia		1701
KP458454.1	A/Argentina/3726/2007	H3N2	2007-05-01	Homo sapiens	9606	human	Primates	Argentina	South America		1698
KP457461.1	A/Peru/8307/2007	H3N2	2007-05-09	Homo sapiens	9606	human	Primates	Peru	South America		1698
KP457509.1	A/Santiago/6421/2007	H3N2	2007-05-09	Homo sapiens	9606	human	Primates	Chile	South America		1698
KF533051.1	A/Singapore/64K/2007	H3N2	2007-05-16	Homo sapiens	9606	human	Primates	Singapore	Asia		1731
KP458851.1	A/Argentina/3797/2007	H3N2	2007-05-28	Homo sapiens	9606	human	Primates	Argentina	South America		1698
CY104380.1	A/LangSon/LS156/2007	H3N2	2007-05-29	Homo sapiens	9606	human	Primates	Viet Nam: LangSon	Asia	MDCK passage(s)	1735
CY032541.1	A/Managua/7/2007	H3N2	2007-06-05	Homo sapiens	9606	human	Primates	Nicaragua: Managua	North America	MDCK 1 passage(s)	1715
CY038519.1	A/Managua/112.01/2007	H3N2	2007-06-07	Homo sapiens	9606	human	Primates	Nicaragua: Managua	North America	MDCK 3 passage(s)	1707
KP457393.1	A/Argentina/3743/2007	H3N2	2007-06-12	Homo sapiens	9606	human	Primates	Argentina	South America		1698
KP458011.1	A/Argentina/445/2007	H3N2	2007-06-12	Homo sapiens	9606	human	Primates	Argentina	South America		1698
KP457116.1	A/Argentina/449/2007	H3N2	2007-06-12	Homo sapiens	9606	human	Primates	Argentina	South America		1698
KP458039.1	A/Argentina/389/2007	H3N2	2007-06-13	Homo sapiens	9606	human	Primates	Argentina	South America		1698
